domain,sigma_op_mode,n_eligible,threshold,p_inside,p_outside,enrichment,alert_occupancy,baseline_enrichment,null_p_corrected
BPA,activity,6312,4.0,0.16720257234726688,0.05515747375437427,3.0313674823442556,0.04927122940430925,3.3018893605988917,9.999000099990002e-05
BPA,always_valid,6312,4.0,0.08541973490427099,0.04199110122358176,2.034234216660652,0.4302915082382763,1.938948515649063,9.999000099990002e-05
