baseline,role,calibration_enrichment,observed_contrast,p_one_sided,holm_adjusted_p
B-TRIV,primary,0.8051412872841445,-0.049623002081404494,1.0,
B-VAR,secondary,0.6964001870032726,0.0013207766720140512,0.459054094590541,0.459054094590541
B-AC1,secondary,0.6118980169971672,0.037987034703955244,0.0024997500249975004,0.007499250074992501
B-COMP,secondary,0.7252124645892352,0.01779036146062235,0.0821917808219178,0.1643835616438356
