domain,sigma_op_mode,n_eligible,threshold,p_inside,p_outside,enrichment,alert_occupancy,baseline_enrichment,null_p_corrected
NYISO,activity,4999,3.0,0.1989247311827957,0.10056098067733223,1.978150271038834,0.03720744148829766,2.1523660714285713,0.0012998700129987
NYISO,always_valid,4999,3.0,0.11202938475665748,0.09819213045019497,1.1409201963845876,0.4356871374274855,1.7100439021373952,0.08299170082991701
